晴天,周杰伦,华语|怀旧|晴朗|校园,64
夜曲,周杰伦,华语|夜晚|安静|钢琴,58
七里香,周杰伦,华语|夏天|温柔|清新,62
一路向北,周杰伦,华语|开车|伤感|电影感,70
红豆,王菲,华语|温柔|夜晚|经典,46
匆匆那年,王菲,华语|怀旧|伤感|电影原声,52
可惜没如果,林俊杰,华语|伤感|情歌|高音,68
江南,林俊杰,华语|经典|温柔|rnb,60
修炼爱情,林俊杰,华语|伤感|情歌|夜晚,57
光年之外,邓紫棋,华语|力量|电影感|高音,78
泡沫,邓紫棋,华语|伤感|高音|情歌,72
喜欢你,邓紫棋,华语|翻唱|甜|轻快,66
演员,薛之谦,华语|伤感|情歌|流行,55
认真的雪,薛之谦,华语|冬天|伤感|经典,48
体面,于文文,华语|伤感|电影原声|情歌,54
说散就散,袁娅维,华语|伤感|rnb|电影原声,61
小幸运,田馥甄,华语|校园|甜|电影原声,63
寂寞寂寞就好,田馥甄,华语|伤感|夜晚|流行,56
慢慢喜欢你,莫文蔚,华语|温柔|甜|婚礼,44
阴天,莫文蔚,华语|阴天|伤感|经典,50
突然好想你,五月天,华语|摇滚|怀旧|伤感,74
温柔,五月天,华语|摇滚|青春|温柔,67
倔强,五月天,华语|摇滚|励志|青春,82
爱人错过,告五人,华语|独立|轻快|甜,76
披星戴月的想你,告五人,华语|独立|夜晚|温柔,65
我还年轻 我还年轻,老王乐队,华语|独立|青春|摇滚,79
成都,赵雷,华语|民谣|城市|夜晚,45
南方姑娘,赵雷,华语|民谣|温柔|安静,42
消愁,毛不易,华语|民谣|伤感|夜晚,43
像我这样的人,毛不易,华语|民谣|自省|安静,47
起风了,买辣椒也用券,华语|青春|怀旧|清新,69
晚安,颜人中,华语|夜晚|温柔|情歌,49
有可能的夜晚,曾轶可,华语|夜晚|甜|独立,53
易燃易爆炸,陈粒,华语|独立|冷感|力量,73
奇妙能力歌,陈粒,华语|独立|安静|文艺,51
走马,陈粒,华语|独立|伤感|夜晚,52
年少有为,李荣浩,华语|伤感|情歌|流行,59
李白,李荣浩,华语|轻快|流行|自信,75
麻雀,李荣浩,华语|伤感|成熟|流行,58
突然想起你,萧亚轩,华语|经典|舞曲|怀旧,80
最熟悉的陌生人,萧亚轩,华语|经典|伤感|情歌,57
